t_s	vx_mm_s	vy_mm_s	vz_mm_s
6.710443	24.836405	21.344098	1.195248
6.730422	0.000000	0.000000	0.000000
6.750443	20.674526	19.437275	-1.758914
6.770483	12.805750	11.260677	2.087795
6.790448	20.711955	19.509725	-1.782942
6.810494	9.230511	8.815736	-0.260340
6.830445	12.844965	9.250677	2.087802
6.850463	21.005007	19.649647	1.213398
6.870421	9.740914	9.905869	-0.270809
6.890461	11.373193	8.571989	-1.542552
6.910421	8.698306	7.352859	-0.876277
6.930432	15.022460	13.598176	1.391818
6.950440	23.687924	20.948026	0.505301
6.970422	11.943778	12.203958	-0.967940
6.990422	8.667656	7.349340	-0.889074
7.010422	12.780902	9.255952	2.056124
7.030474	11.784676	13.373037	2.049026
7.050450	23.128963	19.506367	-0.128813
7.070440	9.320837	7.669617	-3.341296
7.090448	14.872443	14.845134	4.393239
7.110450	8.756621	6.158635	-3.946113
7.130450	14.869122	14.859538	4.390834
7.150424	21.594880	20.107271	-1.323787
7.170426	11.330641	10.724978	-1.610458
7.190451	10.027937	8.017065	2.718859
7.210457	10.857735	9.663504	-1.616778
7.230449	24.069209	20.036971	0.400758
7.250422	11.400346	13.305141	-1.032383
7.270421	11.309131	10.747921	-1.633814
7.290472	21.320817	23.385520	1.667093
7.310427	9.164717	11.036038	-0.346013
7.330517	11.132379	11.915018	1.403201
7.350391	9.857888	11.398693	-2.828185
7.370461	11.134608	11.935028	1.399260
7.390525	21.254924	23.417986	1.637623
7.410422	9.166831	11.090822	-0.362296
7.430446	11.688890	13.489207	1.992215
7.450443	8.564968	9.529542	-0.963840
7.470464	11.277275	8.670173	-1.673900
7.490424	20.427093	26.566789	-1.458921
7.510439	9.088274	11.047451	-0.376452
7.530446	12.672920	9.346069	1.979212
7.550515	20.646101	26.631894	1.589058
7.570425	8.609737	7.465453	-0.989191
7.590439	9.069497	11.065395	-0.388292
7.610445	10.733070	11.856899	-1.707210
7.630451	19.789088	22.941639	-2.109250
7.650574	13.072442	12.939240	2.543938
7.670424	11.172718	12.142964	1.371161
7.690423	9.050996	11.095906	-0.404642
7.710430	11.733895	12.366202	-1.130864
7.730391	19.618068	26.387548	0.942923
7.750421	10.192069	12.906329	-1.738208
7.770447	9.017282	11.100809	-0.417935
7.790473	12.064105	7.874050	1.342648
7.810444	10.699725	16.616545	-1.154997
7.830477	20.512658	22.155184	0.909344
7.850423	9.032167	11.163176	-0.432325
7.870464	11.666710	12.387696	-1.165249
7.890484	11.012059	16.778962	1.926680
7.910424	7.990206	10.688736	-1.040820
7.930381	23.226135	23.567013	0.144716
7.950447	8.952298	11.120091	-0.445756
7.970645	19.780923	23.060609	0.858567
7.990448	9.617308	8.065693	-0.458881
8.010448	8.966378	11.169500	-0.456786
8.030447	9.333364	11.350816	2.652483
8.050458	7.926995	10.679737	-1.058450
8.070426	19.591607	23.192446	-2.276551
8.090442	9.308522	11.354463	2.645021
8.110441	13.044208	8.436589	1.899948
8.130428	16.489614	21.736338	-4.668429
8.150444	9.294179	11.368792	2.640326
8.170420	7.880055	15.439618	-0.480470
8.190422	4.027054	12.321249	1.619581
8.210425	-2.267620	12.764491	0.000000
8.230434	-9.444009	26.627241	2.099945
8.250440	-6.482006	9.470583	-1.021304
8.270419	-10.734677	13.430538	-0.272272
8.290420	-17.223358	22.862151	-1.295346
8.310443	-10.231575	12.353173	-0.273810
8.330443	-9.173922	8.148907	-0.274908
8.350442	-17.256195	22.808332	-1.299914
8.370420	-8.095383	14.674467	-1.025195
8.390522	-16.118617	18.468598	-1.295281
8.410421	-6.599298	8.500803	2.100070
8.430473	-7.088573	12.557137	-1.022191
8.450463	-16.732222	19.550735	-1.306697
8.470430	-9.215280	8.099485	-0.282160
8.490421	-7.258760	13.773846	2.085975
8.510443	-7.031822	10.393526	-1.025345
8.530419	-18.301661	20.024749	-1.912835
8.550420	-7.274053	13.742277	2.081265
8.570420	-11.108700	8.383078	-3.993449
8.590423	-7.282849	13.727725	2.079170
8.610487	-17.387151	19.035856	1.186290
8.630421	-6.584331	9.372481	-1.032139
8.650427	-11.854977	12.712191	-0.889612
8.670422	-17.053740	22.723171	1.781558
8.690385	-6.727673	10.540208	2.075810
8.710422	-11.112581	8.300824	-3.988047
8.730450	-15.048976	23.636075	3.535166
8.750441	-10.127947	8.806722	-3.398704
8.770423	-14.498067	20.491272	3.537311
8.790419	-8.124510	9.792157	-1.632102
8.810420	-10.277668	9.977474	-0.300773
8.830861	-16.261498	21.095374	1.722247
8.850444	-7.270998	10.497231	-1.056539
8.870422	-11.423136	11.589434	-0.903818
8.890419	-17.165087	22.526976	1.752698
8.910426	-8.146172	9.737696	-1.634023
8.930472	-10.900188	13.041987	-0.307056
8.950498	-6.766293	10.414619	2.051867
8.970419	-10.461574	12.088904	-0.310978
8.990451	-16.153927	20.382069	1.738058
9.010420	-9.324740	13.886367	-1.639878
9.030436	-10.429681	11.999355	-0.313001
9.050424	-17.772159	23.413715	1.733554
9.070433	-11.824205	11.273355	-3.998507
9.090445	-9.299825	7.814413	-0.316149
9.110443	-10.346228	9.838172	-0.317666
9.130425	-16.519448	-5.004050	3.766908
9.150452	-7.809285	-2.728341	-0.321396
9.170447	-12.338619	-9.789850	-1.964665
9.190477	-16.981354	-19.065927	1.382626
9.210521	-9.824708	-7.207066	0.388440
9.230424	-9.375449	-8.274408	0.388680
9.250422	-9.697621	-8.420056	-2.689710
9.270443	-7.323237	-10.646555	4.050472
9.290423	-18.045707	-16.140464	-1.717013
9.310448	-9.328849	-8.215018	0.375144
9.330447	-11.740537	-12.895777	-1.984848
9.350446	-17.681982	-15.924346	1.338461
9.370421	0.000000	0.000000	0.000000
9.390421	-21.105493	-21.101983	-1.627291
9.410421	-9.355187	-8.213819	0.361327
9.430458	-9.340093	-8.197206	0.358211
9.450479	-17.688393	-15.886189	1.307939
9.470431	-8.771173	-11.354595	0.352340
9.490415	-12.398677	-9.753292	-2.007801
9.510423	-17.473885	-19.184349	-1.763520
9.530421	-6.350440	-6.660711	2.697605
9.550469	-19.072523	-16.541027	-2.367396
9.570420	-9.402543	-8.215163	0.337361
9.590420	-8.366919	-7.677285	0.933001
9.610423	-9.381920	-8.190577	0.331558
9.630428	-8.779095	-11.298489	0.329079
9.650421	-21.812092	-17.917057	-1.701934
9.670421	-9.392548	-8.184283	0.321992
9.690445	-8.783424	-11.275870	0.319151
9.710434	-18.808123	-16.368551	0.632058
9.730420	-9.408237	-8.182880	0.312373
9.750421	-7.790953	-10.763057	0.908570
9.770421	-18.815158	-16.344857	0.612008
