t_s	x_mm	y_mm	z_mm	roll_rad	pitch_rad	yaw_rad	fx_N	fy_N	fz_N
3.710445	580.620794	53.811752	99.428743	0.000177	0.000421	1.569996	-0.538300	-0.477317	8.947923
3.730422	580.756517	53.989106	99.387964	0.000219	0.000524	1.570096	-0.331621	-0.312203	8.366023
3.750423	581.016752	54.158241	99.383558	0.000219	0.000524	1.569996	-0.233416	-0.218990	7.824353
3.770397	581.477865	54.592731	99.439896	0.000177	0.000421	1.569996	0.000000	0.000000	6.847364
3.790450	581.611326	54.709042	99.343119	0.000261	0.000626	1.569996	0.000000	0.000000	6.411586
3.810427	581.894367	54.948521	99.406154	0.000177	0.000421	1.569996	0.214237	0.148504	6.017570
3.830425	582.303159	55.301399	99.316280	0.000218	0.000524	1.569996	-5.586733	-4.052162	5.755014
3.850438	582.669439	55.636756	99.191918	0.000260	0.000627	1.569996	-2.930675	-4.531645	5.811810
3.870424	582.888865	55.850092	99.208536	0.000218	0.000524	1.569996	-3.225781	-4.583662	5.774279
3.890413	583.283325	56.197761	99.151565	0.000176	0.000421	1.569996	-4.380710	-2.411468	5.707729
3.910446	583.416429	56.314398	99.053985	0.000260	0.000627	1.569996	-10.748116	-9.045260	6.027762
3.930432	583.810611	56.662360	98.996546	0.000218	0.000524	1.569996	-3.669779	-5.006981	6.361837
3.950444	583.964580	56.787916	98.910680	0.000260	0.000627	1.569896	-4.562398	-5.846327	6.515324
3.970467	584.176075	56.998539	98.870787	0.000260	0.000627	1.569996	-4.864979	-4.193988	6.657969
3.990421	584.612122	57.364747	98.846811	0.000218	0.000524	1.569996	-4.836985	-4.598969	7.145310
4.010422	584.823414	57.575594	98.806652	0.000217	0.000524	1.569996	-3.035792	-2.647157	7.324042
4.030400	585.230596	57.930156	98.714071	0.000259	0.000627	1.569996	-12.349718	-6.790218	8.183024
4.050448	585.455049	58.085864	98.729818	0.000217	0.000524	1.569896	-16.414440	-9.228876	8.850910
4.070421	585.653969	58.267172	98.677325	0.000156	0.000669	1.569896	-19.272464	-13.769448	9.565874
4.090423	585.872491	58.481569	98.692949	0.000114	0.000566	1.569996	-13.575822	-13.238053	10.045229
4.110444	586.068284	58.625386	98.640286	0.000156	0.000669	1.569896	-10.242951	-10.774168	10.398442
4.130421	586.476486	59.042481	98.602956	0.000156	0.000669	1.569996	-12.530114	-13.512147	11.234921
4.150477	586.616509	59.162895	98.560278	0.000197	0.000772	1.569896	-11.406170	-12.842991	11.480812
4.170445	586.876944	59.395527	98.609722	0.000155	0.000669	1.569896	-9.781897	-9.654656	11.568498
4.190424	587.268315	59.769751	98.616287	0.000258	0.000628	1.569996	-16.607422	-8.189424	11.858870
4.210425	587.408194	59.890317	98.573391	0.000300	0.000731	1.569996	-17.414793	-9.128225	11.897240
